                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.2868,                 0.6928,                 1.0517,                 1.5336,                0.76331,                 1.0168,                0.89321,                0.89689,                0.94309,                 0.5082,                  1.567,                 0.7139,                 1.0717,                 1.6066,                0.61688,                 1.0146,             0.00071457,             0.00071457,             0.00071457
                     78,                 1.2933,                0.69686,                 1.0547,                 1.5245,                0.76581,                 1.0163,                0.89006,                0.90307,                0.95281,                0.57634,                 1.3185,                0.64289,                 1.0135,                 1.4027,                0.55666,                0.97624,             0.00069961,             0.00069961,             0.00069961
                     79,                 1.3309,                0.71562,                 1.0696,                 1.5535,                0.77354,                 1.0341,                0.87992,                0.90984,                0.94806,                0.56005,                 1.3421,                0.65099,                  1.019,                 1.4338,                0.58214,                0.98556,             0.00068465,             0.00068465,             0.00068465
                     80,                 1.2899,                0.69856,                 1.0561,                 1.5367,                0.77944,                 1.0219,                0.89756,                0.89901,                0.95153,                0.56577,                 1.3512,                0.64028,                 1.0185,                 1.4395,                0.57168,                0.98463,             0.00066971,             0.00066971,             0.00066971
                     81,                 1.2915,                0.68816,                 1.0535,                 1.5351,                0.75452,                  1.022,                0.89944,                 0.8896,                0.94777,                0.54941,                 1.3898,                0.65851,                 1.0289,                 1.4824,                0.61826,                 0.9979,             0.00065479,             0.00065479,             0.00065479
                     82,                 1.2908,                0.69089,                 1.0555,                 1.5306,                0.76912,                 1.0205,                0.90009,                0.90327,                0.95023,                0.57055,                  1.313,                0.63894,                 1.0133,                 1.4206,                0.58321,                0.98243,             0.00063989,             0.00063989,             0.00063989
                     83,                 1.2559,                0.66249,                 1.0417,                 1.4873,                0.71366,                 1.0051,                0.87829,                0.89872,                0.94827,                0.57438,                 1.2979,                0.63735,                 1.0091,                 1.4043,                0.58126,                0.98018,             0.00062503,             0.00062503,             0.00062503
                     84,                 1.2806,                0.68669,                 1.0469,                  1.524,                0.75863,                 1.0105,                0.87265,                0.89899,                0.94865,                0.57017,                 1.3171,                0.63607,                 1.0068,                 1.4261,                0.57933,                0.97951,             0.00061021,             0.00061021,             0.00061021
                     85,                 1.2738,                0.67972,                 1.0393,                 1.5121,                0.74959,                 1.0029,                0.88344,                0.91155,                0.95067,                0.59368,                 1.2471,                0.61775,                0.99181,                 1.3506,                0.55153,                0.96495,             0.00059543,             0.00059543,             0.00059543
                     86,                 1.2746,                0.68502,                 1.0513,                 1.5163,                 0.7472,                 1.0155,                0.89537,                0.90118,                0.94938,                 0.5891,                 1.2639,                0.63114,                0.99572,                 1.3488,                0.57886,                0.96852,              0.0005807,              0.0005807,              0.0005807
                     87,                 1.2742,                 0.6771,                 1.0507,                 1.4972,                0.72853,                 1.0164,                0.88537,                0.90467,                0.94788,                0.56018,                 1.3299,                0.64404,                 1.0139,                 1.4455,                0.59205,                0.98577,             0.00056603,             0.00056603,             0.00056603
                     88,                   1.28,                 0.6841,                 1.0457,                 1.5199,                0.74405,                 1.0095,                0.90978,                0.87835,                0.94872,                0.55555,                 1.3781,                  0.655,                 1.0219,                 1.4498,                0.59675,                0.98345,             0.00055143,             0.00055143,             0.00055143
                     89,                 1.2839,                0.68228,                 1.0485,                 1.5259,                0.74738,                  1.011,                0.88467,                0.91563,                0.95441,                0.56113,                 1.3796,                0.64165,                 1.0269,                 1.4435,                0.56892,                0.98776,              0.0005369,              0.0005369,              0.0005369
                     90,                 1.2766,                 0.6741,                 1.0466,                 1.5113,                0.73491,                 1.0145,                0.87716,                0.90666,                0.94865,                 0.5966,                 1.2374,                0.62982,                0.99527,                 1.3364,                0.57146,                 0.9635,             0.00052245,             0.00052245,             0.00052245
                     91,                 1.2567,                0.65545,                 1.0358,                 1.4904,                0.70689,                 1.0056,                0.89793,                0.89972,                0.95138,                0.57457,                 1.2958,                 0.6386,                 1.0062,                 1.4042,                0.58173,                0.97879,             0.00050808,             0.00050808,             0.00050808
                     92,                 1.2701,                0.68225,                 1.0485,                 1.5094,                0.75838,                 1.0164,                0.89889,                0.90411,                 0.9496,                0.57712,                 1.3223,                0.63637,                 1.0067,                 1.3863,                0.57635,                 0.9732,              0.0004938,              0.0004938,              0.0004938
                     93,                 1.2588,                0.66607,                 1.0328,                 1.4957,                0.72426,                 0.9986,                0.88358,                0.89742,                 0.9494,                0.58623,                 1.2842,                0.63397,                 1.0044,                 1.3757,                0.57067,                0.97183,             0.00047962,             0.00047962,             0.00047962
                     94,                 1.2677,                0.67195,                 1.0449,                 1.5053,                0.72834,                 1.0145,                0.88074,                0.90574,                 0.9491,                0.57962,                 1.2848,                0.63625,                 1.0087,                 1.3788,                0.57665,                 0.9761,             0.00046554,             0.00046554,             0.00046554
                     95,                 1.2737,                0.67753,                 1.0451,                 1.5129,                 0.7435,                 1.0098,                0.89679,                0.90432,                 0.9527,                0.59431,                  1.265,                0.62175,                0.99825,                 1.3391,                0.56272,                0.96386,             0.00045157,             0.00045157,             0.00045157
                     96,                 1.2391,                0.65687,                 1.0334,                 1.4707,                0.71047,                 1.0019,                 0.8995,                0.90225,                0.95311,                0.57793,                 1.3173,                 0.6326,                 1.0137,                 1.3836,                0.56266,                0.97329,             0.00043772,             0.00043772,             0.00043772
                     97,                 1.2444,                0.66387,                 1.0314,                 1.4715,                0.72763,                0.99869,                0.90187,                0.90529,                0.95265,                0.56604,                 1.3446,                 0.6428,                 1.0234,                 1.4163,                0.58713,                0.98316,             0.00042399,             0.00042399,             0.00042399
                     98,                 1.2431,                0.66818,                 1.0359,                 1.4934,                0.72229,                  1.005,                0.89844,                  0.914,                0.95736,                0.58339,                 1.2655,                0.61913,                 1.0007,                 1.3711,                0.56756,                0.97364,             0.00041038,             0.00041038,             0.00041038
                     99,                 1.2324,                0.64879,                 1.0253,                 1.4676,                0.69546,                0.99304,                0.90094,                0.89995,                0.95499,                0.58681,                 1.2675,                0.61277,                0.99961,                 1.3645,                0.56036,                0.96952,             0.00039691,             0.00039691,             0.00039691
                    100,                 1.2452,                0.65759,                 1.0346,                 1.4935,                0.73358,                 1.0048,                0.89254,                0.89698,                0.94961,                0.56627,                  1.316,                0.63209,                 1.0136,                 1.4252,                0.57378,                0.98626,             0.00038358,             0.00038358,             0.00038358
                    101,                 1.2409,                0.66618,                 1.0336,                 1.4867,                0.72969,                 1.0022,                0.90164,                0.90157,                 0.9496,                0.55385,                 1.3677,                0.64623,                 1.0203,                 1.4604,                0.58431,                0.98771,             0.00037039,             0.00037039,             0.00037039
                    102,                 1.2443,                0.65205,                 1.0329,                 1.4784,                0.71095,                 1.0008,                0.90589,                 0.9019,                0.95289,                0.53675,                 1.4398,                0.65946,                 1.0414,                 1.5151,                0.59397,                 1.0031,             0.00035736,             0.00035736,             0.00035736
                    103,                 1.2303,                0.64737,                 1.0307,                 1.4709,                0.70627,                0.99943,                0.89504,                0.89949,                 0.9503,                0.54121,                 1.4175,                0.64951,                 1.0416,                 1.5004,                0.58078,                  1.005,             0.00034448,             0.00034448,             0.00034448
